Sub-subheading,Subheading,Main Heading,Links,Full Links,Main Heading_translated,Subheading_translated,Sub-subheading_translated,English Full Links,English Relative Links
فيروس معدل جينيًا,فيروس معدل جينيًا,صناعة بشرية/نظريات المؤامرة,"['/wiki/قسيم_فولفي', '/wiki/إنزيم_محول_للأنجيوتنسين_2', '/wiki/اصطفاء_طبيعي', '/wiki/علم_الوراثة_العكسي', '/wiki/فيروس_كورونا_بيتا', '/wiki/هندسة_وراثية', '/wiki/خفاشيات', '/wiki/آكل_النمل_الحرشفي', '/wiki/فاينانشال_تايمز', '/wiki/ووهان', '/wiki/ذا_لانسيت']","['https://ar.wikipedia.org/wiki/قسيم_فولفي', 'https://ar.wikipedia.org/wiki/إنزيم_محول_للأنجيوتنسين_2', 'https://ar.wikipedia.org/wiki/اصطفاء_طبيعي', 'https://ar.wikipedia.org/wiki/علم_الوراثة_العكسي', 'https://ar.wikipedia.org/wiki/فيروس_كورونا_بيتا', 'https://ar.wikipedia.org/wiki/هندسة_وراثية', 'https://ar.wikipedia.org/wiki/خفاشيات', 'https://ar.wikipedia.org/wiki/آكل_النمل_الحرشفي', 'https://ar.wikipedia.org/wiki/فاينانشال_تايمز', 'https://ar.wikipedia.org/wiki/ووهان', 'https://ar.wikipedia.org/wiki/ذا_لانسيت']",Human industry/conspiracy theories,Gennous virus,Gennous virus,"['https://en.wikipedia.org/wiki/Spike_protein', 'https://en.wikipedia.org/wiki/Angiotensin-converting_enzyme_2', 'https://en.wikipedia.org/wiki/Natural_selection', 'https://en.wikipedia.org/wiki/Reverse_genetics', 'https://en.wikipedia.org/wiki/Betacoronavirus', 'https://en.wikipedia.org/wiki/Genetic_engineering', 'https://en.wikipedia.org/wiki/Bat', 'https://en.wikipedia.org/wiki/Pangolin', 'https://en.wikipedia.org/wiki/Financial_Times', 'https://en.wikipedia.org/wiki/Wuhan', 'https://en.wikipedia.org/wiki/The_Lancet']","['/wiki/Spike_protein', '/wiki/Angiotensin-converting_enzyme_2', '/wiki/Natural_selection', '/wiki/Reverse_genetics', '/wiki/Betacoronavirus', '/wiki/Genetic_engineering', '/wiki/Bat', '/wiki/Pangolin', '/wiki/Financial_Times', '/wiki/Wuhan', '/wiki/The_Lancet']"
سلاح بيولوجي صيني,سلاح بيولوجي صيني,صناعة بشرية/نظريات المؤامرة,[],[],Human industry/conspiracy theories,Chinese biological weapon,Chinese biological weapon,[],[]
الولايات المتحدة الأمريكية,سلاح بيولوجي صيني,صناعة بشرية/نظريات المؤامرة,"['/wiki/واشنطن_تايمز', '/wiki/دونالد_ترامب', '/wiki/جامعة_ليبرتي', '/wiki/فوكس_نيوز']","['https://ar.wikipedia.org/wiki/واشنطن_تايمز', 'https://ar.wikipedia.org/wiki/دونالد_ترامب', 'https://ar.wikipedia.org/wiki/جامعة_ليبرتي', 'https://ar.wikipedia.org/wiki/فوكس_نيوز']",Human industry/conspiracy theories,Chinese biological weapon,United States of America,"['https://en.wikipedia.org/wiki/The_Washington_Times', 'https://en.wikipedia.org/wiki/Donald_Trump', 'https://en.wikipedia.org/wiki/Liberty_University', 'https://en.wikipedia.org/wiki/Fox_News']","['/wiki/The_Washington_Times', '/wiki/Donald_Trump', '/wiki/Liberty_University', '/wiki/Fox_News']"
اتهامات المملكة المتحدة,سلاح بيولوجي صيني,صناعة بشرية/نظريات المؤامرة,"['/wiki/توبياس_إلوود', '/wiki/مجلس_عموم_المملكة_المتحدة', '/wiki/آسيا_تايمز', '/wiki/ديلي_ميل']","['https://ar.wikipedia.org/wiki/توبياس_إلوود', 'https://ar.wikipedia.org/wiki/مجلس_عموم_المملكة_المتحدة', 'https://ar.wikipedia.org/wiki/آسيا_تايمز', 'https://ar.wikipedia.org/wiki/ديلي_ميل']",Human industry/conspiracy theories,Chinese biological weapon,UK accusations,"['https://en.wikipedia.org/wiki/Tobias_Ellwood', 'https://en.wikipedia.org/wiki/House_of_Commons_of_the_United_Kingdom', 'https://en.wikipedia.org/wiki/Asia_Times', 'https://en.wikipedia.org/wiki/Daily_Mail']","['/wiki/Tobias_Ellwood', '/wiki/House_of_Commons_of_the_United_Kingdom', '/wiki/Asia_Times', '/wiki/Daily_Mail']"
اتهامات الهند,سلاح بيولوجي صيني,صناعة بشرية/نظريات المؤامرة,['/wiki/رهاب_الصين'],['https://ar.wikipedia.org/wiki/رهاب_الصين'],Human industry/conspiracy theories,Chinese biological weapon,India accusations,['https://en.wikipedia.org/wiki/Anti-Chinese_sentiment'],['/wiki/Anti-Chinese_sentiment']
اتهامات أوكرانيا,سلاح بيولوجي صيني,صناعة بشرية/نظريات المؤامرة,"['/wiki/دين_كونتز', '/wiki/عيون_الظلام_(رواية)', '/wiki/فيروس_كورونا']","['https://ar.wikipedia.org/wiki/دين_كونتز', 'https://ar.wikipedia.org/wiki/عيون_الظلام_(رواية)', 'https://ar.wikipedia.org/wiki/فيروس_كورونا']",Human industry/conspiracy theories,Chinese biological weapon,Ukraine accusations,"['https://en.wikipedia.org/wiki/Dean_Koontz', 'https://en.wikipedia.org/wiki/The_Eyes_of_Darkness', 'https://en.wikipedia.org/wiki/Coronavirus']","['/wiki/Dean_Koontz', '/wiki/The_Eyes_of_Darkness', '/wiki/Coronavirus']"
سلاح بيولوجي أمريكي,سلاح بيولوجي أمريكي,صناعة بشرية/نظريات المؤامرة,[],[],Human industry/conspiracy theories,American biological weapon,American biological weapon,[],[]
اتهامات روسيا,سلاح بيولوجي أمريكي,صناعة بشرية/نظريات المؤامرة,"['/wiki/تويتر', '/wiki/فيسبوك', '/wiki/إنستغرام', '/wiki/سبوتنيك_(وكالة_أنباء)', '/wiki/لاتفيا', '/wiki/الحزب_الشيوعي_الصيني', '/wiki/احتجاجات_هونغ_كونغ_2019-20', '/wiki/إيطاليا', '/wiki/أرمينيا', '/wiki/بيلاروس', '/wiki/إسبانيا', '/wiki/الشرق_الأوسط']","['https://ar.wikipedia.org/wiki/تويتر', 'https://ar.wikipedia.org/wiki/فيسبوك', 'https://ar.wikipedia.org/wiki/إنستغرام', 'https://ar.wikipedia.org/wiki/سبوتنيك_(وكالة_أنباء)', 'https://ar.wikipedia.org/wiki/لاتفيا', 'https://ar.wikipedia.org/wiki/الحزب_الشيوعي_الصيني', 'https://ar.wikipedia.org/wiki/احتجاجات_هونغ_كونغ_2019-20', 'https://ar.wikipedia.org/wiki/إيطاليا', 'https://ar.wikipedia.org/wiki/أرمينيا', 'https://ar.wikipedia.org/wiki/بيلاروس', 'https://ar.wikipedia.org/wiki/إسبانيا', 'https://ar.wikipedia.org/wiki/الشرق_الأوسط']",Human industry/conspiracy theories,American biological weapon,Russia's accusations,"['https://en.wikipedia.org/wiki/Twitter', 'https://en.wikipedia.org/wiki/Facebook', 'https://en.wikipedia.org/wiki/Instagram', 'https://en.wikipedia.org/wiki/Sputnik_%28news_agency%29', 'https://en.wikipedia.org/wiki/Latvia', 'https://en.wikipedia.org/wiki/Chinese_Communist_Party', 'https://en.wikipedia.org/wiki/2019%E2%80%932020_Hong_Kong_protests', 'https://en.wikipedia.org/wiki/Italy', 'https://en.wikipedia.org/wiki/Armenia', 'https://en.wikipedia.org/wiki/Belarus', 'https://en.wikipedia.org/wiki/Spain', 'https://en.wikipedia.org/wiki/Middle_East']","['/wiki/Twitter', '/wiki/Facebook', '/wiki/Instagram', '/wiki/Sputnik_%28news_agency%29', '/wiki/Latvia', '/wiki/Chinese_Communist_Party', '/wiki/2019%E2%80%932020_Hong_Kong_protests', '/wiki/Italy', '/wiki/Armenia', '/wiki/Belarus', '/wiki/Spain', '/wiki/Middle_East']"
اتهامات إيران,سلاح بيولوجي أمريكي,صناعة بشرية/نظريات المؤامرة,['/wiki/هاشم_بطحائي_كلبايكاني'],['https://ar.wikipedia.org/wiki/هاشم_بطحائي_كلبايكاني'],Human industry/conspiracy theories,American biological weapon,Iran's accusations,['https://en.wikipedia.org/wiki/Hashem_Bathaie_Golpayegani'],['/wiki/Hashem_Bathaie_Golpayegani']
اتهامات صينية,سلاح بيولوجي أمريكي,صناعة بشرية/نظريات المؤامرة,"['/wiki/ذي_إيكونوميست', '/wiki/لندن', '/wiki/الصين', '/wiki/ووهان', '/wiki/الصين']","['https://ar.wikipedia.org/wiki/ذي_إيكونوميست', 'https://ar.wikipedia.org/wiki/لندن', 'https://ar.wikipedia.org/wiki/الصين', 'https://ar.wikipedia.org/wiki/ووهان', 'https://ar.wikipedia.org/wiki/الصين']",Human industry/conspiracy theories,American biological weapon,Chinese accusations,"['https://en.wikipedia.org/wiki/The_Economist', 'https://en.wikipedia.org/wiki/London', 'https://en.wikipedia.org/wiki/China', 'https://en.wikipedia.org/wiki/Wuhan', 'https://en.wikipedia.org/wiki/China']","['/wiki/The_Economist', '/wiki/London', '/wiki/China', '/wiki/Wuhan', '/wiki/China']"
