Sub-subheading,Subheading,Main Heading,Links,Full Links,Main Heading_translated,Subheading_translated,Sub-subheading_translated,English Full Links,English Relative Links
“抽烟和烟花爆竹能防治肺炎”,“抽烟和烟花爆竹能防治肺炎”,關於疫情的医学谣言,"['/wiki/SARS事件', '/wiki/香港衛生署']","['https://zh.wikipedia.org/wiki/SARS事件', 'https://zh.wikipedia.org/wiki/香港衛生署']",Medical rumors about epidemics,"""Smoking and fireworks can prevent pneumonia""","""Smoking and fireworks can prevent pneumonia""","['https://zh.wikipedia.org/wiki/SARS事件', 'https://zh.wikipedia.org/wiki/香港衛生署']","['https://zh.wikipedia.org/wiki/SARS事件', 'https://zh.wikipedia.org/wiki/香港衛生署']"
“室内煮醋能预防肺炎”,“室内煮醋能预防肺炎”,關於疫情的医学谣言,"['/wiki/过氧乙酸', '/wiki/过氧', '/wiki/氧化作用', '/wiki/乙酸']","['https://zh.wikipedia.org/wiki/过氧乙酸', 'https://zh.wikipedia.org/wiki/过氧', 'https://zh.wikipedia.org/wiki/氧化作用', 'https://zh.wikipedia.org/wiki/乙酸']",Medical rumors about epidemics,"""Indoor vinegar can prevent pneumonia""","""Indoor vinegar can prevent pneumonia""","['https://en.wikipedia.org/wiki/Peracetic_acid', 'https://zh.wikipedia.org/wiki/过氧', 'https://zh.wikipedia.org/wiki/氧化作用', 'https://en.wikipedia.org/wiki/Acetic_acid']","['/wiki/Peracetic_acid', 'https://zh.wikipedia.org/wiki/过氧', 'https://zh.wikipedia.org/wiki/氧化作用', '/wiki/Acetic_acid']"
“维生素C能提高免疫力”,“维生素C能提高免疫力”,關於疫情的医学谣言,['/wiki/维生素C'],['https://zh.wikipedia.org/wiki/维生素C'],Medical rumors about epidemics,"""Vitamin C can improve immunity""","""Vitamin C can improve immunity""",['https://en.wikipedia.org/wiki/Vitamin_C'],['/wiki/Vitamin_C']
“OC43病毒”,“OC43病毒”,關於疫情的医学谣言,"['/wiki/香港大學', '/wiki/袁國勇']","['https://zh.wikipedia.org/wiki/香港大學', 'https://zh.wikipedia.org/wiki/袁國勇']",Medical rumors about epidemics,"""OC43 Virus""","""OC43 Virus""","['https://en.wikipedia.org/wiki/University_of_Hong_Kong', 'https://en.wikipedia.org/wiki/Yuen_Kwok-yung']","['/wiki/University_of_Hong_Kong', '/wiki/Yuen_Kwok-yung']"
“用淡盐水漱口可以预防嚴重急性呼吸綜合症冠狀病毒2型”,“用淡盐水漱口可以预防嚴重急性呼吸綜合症冠狀病毒2型”,關於疫情的医学谣言,['/wiki/上海市普陀区中心医院'],['https://zh.wikipedia.org/wiki/上海市普陀区中心医院'],Medical rumors about epidemics,"""Rinse mouth with fresh salt water can prevent severe acute respiratory syndrome Coronary virus type 2""","""Rinse mouth with fresh salt water can prevent severe acute respiratory syndrome Coronary virus type 2""",['https://zh.wikipedia.org/wiki/上海市普陀区中心医院'],['https://zh.wikipedia.org/wiki/上海市普陀区中心医院']
“钟南山院士建议‘全中国人民在家隔离两周’”,“钟南山院士建议‘全中国人民在家隔离两周’”,關於疫情的医学谣言,[],[],Medical rumors about epidemics,"""Academician Zhong Nanshan suggested‘ the whole Chinese people are separated at home for two weeks ’","""Academician Zhong Nanshan suggested‘ the whole Chinese people are separated at home for two weeks ’",[],[]
“吃大剂量抗流感药能预防嚴重急性呼吸綜合症冠狀病毒2型感染”,“吃大剂量抗流感药能预防嚴重急性呼吸綜合症冠狀病毒2型感染”,關於疫情的医学谣言,['/wiki/中华预防医学会'],['https://zh.wikipedia.org/wiki/中华预防医学会'],Medical rumors about epidemics,"""Take large -dose anti -influenza drugs to prevent severe acute respiratory syndrome Coronatte virus 2 infection""","""Take large -dose anti -influenza drugs to prevent severe acute respiratory syndrome Coronatte virus 2 infection""",['https://zh.wikipedia.org/wiki/中华预防医学会'],['https://zh.wikipedia.org/wiki/中华预防医学会']
“蒸口罩可重用”,“蒸口罩可重用”,關於疫情的医学谣言,"['/wiki/廣州廣播電視台', '/wiki/G4出動', '/wiki/微信', '/wiki/民主建港協進聯盟', '/wiki/蔣麗芸', '/wiki/Facebook', '/wiki/香港大學', '/wiki/何栢良', '/wiki/香港中文大學', '/wiki/許樹昌', '/wiki/香港紅十字會', '/wiki/衞生防護中心', '/wiki/衛生防護中心', '/wiki/唐鳳', '/wiki/中央流行疫情指揮中心']","['https://zh.wikipedia.org/wiki/廣州廣播電視台', 'https://zh.wikipedia.org/wiki/G4出動', 'https://zh.wikipedia.org/wiki/微信', 'https://zh.wikipedia.org/wiki/民主建港協進聯盟', 'https://zh.wikipedia.org/wiki/蔣麗芸', 'https://zh.wikipedia.org/wiki/Facebook', 'https://zh.wikipedia.org/wiki/香港大學', 'https://zh.wikipedia.org/wiki/何栢良', 'https://zh.wikipedia.org/wiki/香港中文大學', 'https://zh.wikipedia.org/wiki/許樹昌', 'https://zh.wikipedia.org/wiki/香港紅十字會', 'https://zh.wikipedia.org/wiki/衞生防護中心', 'https://zh.wikipedia.org/wiki/衛生防護中心', 'https://zh.wikipedia.org/wiki/唐鳳', 'https://zh.wikipedia.org/wiki/中央流行疫情指揮中心']",Medical rumors about epidemics,"""Steamed mask can be reused""","""Steamed mask can be reused""","['https://zh.wikipedia.org/wiki/廣州廣播電視台', 'https://zh.wikipedia.org/wiki/G4出動', 'https://en.wikipedia.org/wiki/WeChat', 'https://en.wikipedia.org/wiki/Democratic_Alliance_for_the_Betterment_and_Progress_of_Hong_Kong', 'https://en.wikipedia.org/wiki/Ann_Chiang', 'https://en.wikipedia.org/wiki/Facebook', 'https://en.wikipedia.org/wiki/University_of_Hong_Kong', 'https://zh.wikipedia.org/wiki/何栢良', 'https://en.wikipedia.org/wiki/Chinese_University_of_Hong_Kong', 'https://zh.wikipedia.org/wiki/許樹昌', 'https://en.wikipedia.org/wiki/Hong_Kong_Red_Cross', 'https://en.wikipedia.org/wiki/Centre_for_Health_Protection', 'https://zh.wikipedia.org/wiki/衛生防護中心', 'https://en.wikipedia.org/wiki/Audrey_Tang', 'https://zh.wikipedia.org/wiki/中央流行疫情指揮中心']","['https://zh.wikipedia.org/wiki/廣州廣播電視台', 'https://zh.wikipedia.org/wiki/G4出動', '/wiki/WeChat', '/wiki/Democratic_Alliance_for_the_Betterment_and_Progress_of_Hong_Kong', '/wiki/Ann_Chiang', '/wiki/Facebook', '/wiki/University_of_Hong_Kong', 'https://zh.wikipedia.org/wiki/何栢良', '/wiki/Chinese_University_of_Hong_Kong', 'https://zh.wikipedia.org/wiki/許樹昌', '/wiki/Hong_Kong_Red_Cross', '/wiki/Centre_for_Health_Protection', 'https://zh.wikipedia.org/wiki/衛生防護中心', '/wiki/Audrey_Tang', 'https://zh.wikipedia.org/wiki/中央流行疫情指揮中心']"
“双黄连口服液可抑制嚴重急性呼吸綜合症冠狀病毒2型”,“双黄连口服液可抑制嚴重急性呼吸綜合症冠狀病毒2型”,關於疫情的医学谣言,"['/wiki/双黄连口服液', '/wiki/王延轶#争议', '/wiki/人民日报', '/wiki/中国科学院', '/wiki/双黄连口服液']","['https://zh.wikipedia.org/wiki/双黄连口服液', 'https://zh.wikipedia.org/wiki/王延轶#争议', 'https://zh.wikipedia.org/wiki/人民日报', 'https://zh.wikipedia.org/wiki/中国科学院', 'https://zh.wikipedia.org/wiki/双黄连口服液']",Medical rumors about epidemics,"""Double Huanglian Oral Liquid to inhibit severe acute respiratory syndrome Coronary Virus 2""","""Double Huanglian Oral Liquid to inhibit severe acute respiratory syndrome Coronary Virus 2""","['https://zh.wikipedia.org/wiki/双黄连口服液', 'https://en.wikipedia.org/wiki/Wang_Yanyi', 'https://en.wikipedia.org/wiki/People%27s_Daily', 'https://en.wikipedia.org/wiki/Chinese_Academy_of_Sciences', 'https://zh.wikipedia.org/wiki/双黄连口服液']","['https://zh.wikipedia.org/wiki/双黄连口服液', '/wiki/Wang_Yanyi', '/wiki/People%27s_Daily', '/wiki/Chinese_Academy_of_Sciences', 'https://zh.wikipedia.org/wiki/双黄连口服液']"
“零号病人”,“零号病人”,關於疫情的医学谣言,['/wiki/中国科学院武汉病毒研究所'],['https://zh.wikipedia.org/wiki/中国科学院武汉病毒研究所'],Medical rumors about epidemics,"""Patient No. 0""","""Patient No. 0""",['https://en.wikipedia.org/wiki/Wuhan_Institute_of_Virology'],['/wiki/Wuhan_Institute_of_Virology']
“納豆可以抑制2019冠狀病毒病”,“納豆可以抑制2019冠狀病毒病”,關於疫情的医学谣言,"['/wiki/茨城縣', '/wiki/納豆']","['https://zh.wikipedia.org/wiki/茨城縣', 'https://zh.wikipedia.org/wiki/納豆']",Medical rumors about epidemics,"""Natto can inhibit 2019 coronary virus disease""","""Natto can inhibit 2019 coronary virus disease""","['https://en.wikipedia.org/wiki/Ibaraki_Prefecture', 'https://en.wikipedia.org/wiki/Natt%C5%8D']","['/wiki/Ibaraki_Prefecture', '/wiki/Natt%C5%8D']"
“蚊虫或成嚴重急性呼吸綜合症冠狀病毒2型第三宿主”,“蚊虫或成嚴重急性呼吸綜合症冠狀病毒2型第三宿主”,關於疫情的医学谣言,"['/wiki/石正丽', '/wiki/中国科学院武汉病毒研究所']","['https://zh.wikipedia.org/wiki/石正丽', 'https://zh.wikipedia.org/wiki/中国科学院武汉病毒研究所']",Medical rumors about epidemics,"""Mosquito or severe acute respiratory syndrome Coronary virus type 2 third host""","""Mosquito or severe acute respiratory syndrome Coronary virus type 2 third host""","['https://en.wikipedia.org/wiki/Shi_Zhengli', 'https://en.wikipedia.org/wiki/Wuhan_Institute_of_Virology']","['/wiki/Shi_Zhengli', '/wiki/Wuhan_Institute_of_Virology']"
“5G傳播嚴重急性呼吸綜合症冠狀病毒2型”,“5G傳播嚴重急性呼吸綜合症冠狀病毒2型”,關於疫情的医学谣言,"['/wiki/2019冠状病毒病英国疫情', '/wiki/手機訊號發射站', '/wiki/國民保健署', '/wiki/假新聞']","['https://zh.wikipedia.org/wiki/2019冠状病毒病英国疫情', 'https://zh.wikipedia.org/wiki/手機訊號發射站', 'https://zh.wikipedia.org/wiki/國民保健署', 'https://zh.wikipedia.org/wiki/假新聞']",Medical rumors about epidemics,"""5G transmission severe acute respiratory syndrome Coronary virus type 2""","""5G transmission severe acute respiratory syndrome Coronary virus type 2""","['https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_United_Kingdom', 'https://zh.wikipedia.org/wiki/手機訊號發射站', 'https://en.wikipedia.org/wiki/National_Health_Service', 'https://en.wikipedia.org/wiki/Fake_news']","['/wiki/COVID-19_pandemic_in_the_United_Kingdom', 'https://zh.wikipedia.org/wiki/手機訊號發射站', '/wiki/National_Health_Service', '/wiki/Fake_news']"
“吸煙喝酒對抗病毒”,“吸煙喝酒對抗病毒”,關於疫情的医学谣言,"['/wiki/吸烟', '/wiki/喝酒', '/wiki/煙草', '/wiki/尼古丁', '/wiki/呼吸道', '/wiki/氣道', '/wiki/肺', '/wiki/肝脏']","['https://zh.wikipedia.org/wiki/吸烟', 'https://zh.wikipedia.org/wiki/喝酒', 'https://zh.wikipedia.org/wiki/煙草', 'https://zh.wikipedia.org/wiki/尼古丁', 'https://zh.wikipedia.org/wiki/呼吸道', 'https://zh.wikipedia.org/wiki/氣道', 'https://zh.wikipedia.org/wiki/肺', 'https://zh.wikipedia.org/wiki/肝脏']",Medical rumors about epidemics,"""Smoking, drinking against virus""","""Smoking, drinking against virus""","['https://zh.wikipedia.org/wiki/吸烟', 'https://zh.wikipedia.org/wiki/喝酒', 'https://zh.wikipedia.org/wiki/煙草', 'https://en.wikipedia.org/wiki/Nicotine', 'https://en.wikipedia.org/wiki/Respiratory_tract', 'https://zh.wikipedia.org/wiki/氣道', 'https://en.wikipedia.org/wiki/Lung', 'https://zh.wikipedia.org/wiki/肝脏']","['https://zh.wikipedia.org/wiki/吸烟', 'https://zh.wikipedia.org/wiki/喝酒', 'https://zh.wikipedia.org/wiki/煙草', '/wiki/Nicotine', '/wiki/Respiratory_tract', 'https://zh.wikipedia.org/wiki/氣道', '/wiki/Lung', 'https://zh.wikipedia.org/wiki/肝脏']"
“吃大蒜預防嚴重急性呼吸綜合症冠狀病毒2型”,“吃大蒜預防嚴重急性呼吸綜合症冠狀病毒2型”,關於疫情的医学谣言,"['/wiki/大蒜', '/wiki/世界衛生組織']","['https://zh.wikipedia.org/wiki/大蒜', 'https://zh.wikipedia.org/wiki/世界衛生組織']",Medical rumors about epidemics,"""Eat garlic to prevent severe acute respiratory syndrome Coronary virus type 2""","""Eat garlic to prevent severe acute respiratory syndrome Coronary virus type 2""","['https://zh.wikipedia.org/wiki/大蒜', 'https://zh.wikipedia.org/wiki/世界衛生組織']","['https://zh.wikipedia.org/wiki/大蒜', 'https://zh.wikipedia.org/wiki/世界衛生組織']"
“喝消毒劑抗嚴重急性呼吸綜合症冠狀病毒2型”,“喝消毒劑抗嚴重急性呼吸綜合症冠狀病毒2型”,關於疫情的医学谣言,"['/wiki/唐納·川普', '/wiki/紐約每日新聞', '/wiki/利洁时']","['https://zh.wikipedia.org/wiki/唐納·川普', 'https://zh.wikipedia.org/wiki/紐約每日新聞', 'https://zh.wikipedia.org/wiki/利洁时']",Medical rumors about epidemics,"""Drinking disinfectant anti -severe acute respiratory syndrome Coronary virus type 2""","""Drinking disinfectant anti -severe acute respiratory syndrome Coronary virus type 2""","['https://en.wikipedia.org/wiki/Donald_Trump', 'https://en.wikipedia.org/wiki/New_York_Daily_News', 'https://en.wikipedia.org/wiki/Reckitt']","['/wiki/Donald_Trump', '/wiki/New_York_Daily_News', '/wiki/Reckitt']"
“零下20℃嚴重急性呼吸綜合症冠狀病毒2型可存活20年”,“零下20℃嚴重急性呼吸綜合症冠狀病毒2型可存活20年”,關於疫情的医学谣言,"['/wiki/中国工程院院士', '/wiki/李兰娟']","['https://zh.wikipedia.org/wiki/中国工程院院士', 'https://zh.wikipedia.org/wiki/李兰娟']",Medical rumors about epidemics,"""Severe acute respiratory syndrome of the crown virus 2 can survive for 20 years at minus 20 ° C""","""Severe acute respiratory syndrome of the crown virus 2 can survive for 20 years at minus 20 ° C""","['https://en.wikipedia.org/wiki/Member_of_the_Chinese_Academy_of_Engineering', 'https://en.wikipedia.org/wiki/Li_Lanjuan']","['/wiki/Member_of_the_Chinese_Academy_of_Engineering', '/wiki/Li_Lanjuan']"
“钟南山院士已被传染嚴重急性呼吸綜合症冠狀病毒2型”,“钟南山院士已被传染嚴重急性呼吸綜合症冠狀病毒2型”,疫情其他谣言,"['/wiki/中国工程院', '/wiki/钟南山']","['https://zh.wikipedia.org/wiki/中国工程院', 'https://zh.wikipedia.org/wiki/钟南山']",Other rumors of the epidemic,"""Academician Zhong Nanshan has been infected with severe acute respiratory syndrome Coronary virus type 2""","""Academician Zhong Nanshan has been infected with severe acute respiratory syndrome Coronary virus type 2""","['https://en.wikipedia.org/wiki/Chinese_Academy_of_Engineering', 'https://en.wikipedia.org/wiki/Zhong_Nanshan']","['/wiki/Chinese_Academy_of_Engineering', '/wiki/Zhong_Nanshan']"
“武汉蝙蝠宴”,“武汉蝙蝠宴”,疫情其他谣言,"['/wiki/蝙蝠', '/wiki/帕勞']","['https://zh.wikipedia.org/wiki/蝙蝠', 'https://zh.wikipedia.org/wiki/帕勞']",Other rumors of the epidemic,"""Wuhan Bat Banquet""","""Wuhan Bat Banquet""","['https://en.wikipedia.org/wiki/Bat', 'https://zh.wikipedia.org/wiki/帕勞']","['/wiki/Bat', 'https://zh.wikipedia.org/wiki/帕勞']"
“青島市即墨區北安街道出现2019冠狀病毒病患者”,“青島市即墨區北安街道出现2019冠狀病毒病患者”,疫情其他谣言,[],[],Other rumors of the epidemic,"""Patients with coronary virus disease in Bei'an Street, Shimo District, Qingdao City""","""Patients with coronary virus disease in Bei'an Street, Shimo District, Qingdao City""",[],[]
“上海瑞金醫院2019冠狀病毒病患者出逃”,“上海瑞金醫院2019冠狀病毒病患者出逃”,疫情其他谣言,['/wiki/上海瑞金医院'],['https://zh.wikipedia.org/wiki/上海瑞金医院'],Other rumors of the epidemic,"""Patients with coronary virus disease in Shanghai Ruijin Hospital for escape""","""Patients with coronary virus disease in Shanghai Ruijin Hospital for escape""",['https://zh.wikipedia.org/wiki/上海瑞金医院'],['https://zh.wikipedia.org/wiki/上海瑞金医院']
