Sub-subheading,Subheading,Main Heading,Links,Full Links,Main Heading_translated,Subheading_translated,Sub-subheading_translated,English Full Links,English Relative Links
Lebensdauer und Symptome,Lebensdauer und Symptome,Falschinformationen zu Eigenschaften des Virus,"['/wiki/Wuhan', '/wiki/Massenquarantäne', '/wiki/WhatsApp', '/wiki/Inkubationszeit', '/wiki/Hubei', '/wiki/Hartmut_Hengel', '/wiki/Gesellschaft_für_Virologie', '/wiki/Infektiosität', '/wiki/Tröpfcheninfektion', '/wiki/Aerosol', '/wiki/Correctiv', '/wiki/Tagesschau.de']","['https://de.wikipedia.org/wiki/Wuhan', 'https://de.wikipedia.org/wiki/Massenquarantäne', 'https://de.wikipedia.org/wiki/WhatsApp', 'https://de.wikipedia.org/wiki/Inkubationszeit', 'https://de.wikipedia.org/wiki/Hubei', 'https://de.wikipedia.org/wiki/Hartmut_Hengel', 'https://de.wikipedia.org/wiki/Gesellschaft_für_Virologie', 'https://de.wikipedia.org/wiki/Infektiosität', 'https://de.wikipedia.org/wiki/Tröpfcheninfektion', 'https://de.wikipedia.org/wiki/Aerosol', 'https://de.wikipedia.org/wiki/Correctiv', 'https://de.wikipedia.org/wiki/Tagesschau.de']",False information on the properties of the virus,Lifetime and symptoms,Lifetime and symptoms,"['https://en.wikipedia.org/wiki/Wuhan', 'https://en.wikipedia.org/wiki/Lockdown', 'https://en.wikipedia.org/wiki/WhatsApp', 'https://en.wikipedia.org/wiki/Incubation_period', 'https://en.wikipedia.org/wiki/Hubei', 'https://de.wikipedia.org/wiki/Hartmut_Hengel', 'https://de.wikipedia.org/wiki/Gesellschaft_für_Virologie', 'https://en.wikipedia.org/wiki/Infectivity', 'https://de.wikipedia.org/wiki/Tröpfcheninfektion', 'https://en.wikipedia.org/wiki/Aerosol', 'https://en.wikipedia.org/wiki/Correctiv', 'https://de.wikipedia.org/wiki/Tagesschau.de']","['/wiki/Wuhan', '/wiki/Lockdown', '/wiki/WhatsApp', '/wiki/Incubation_period', '/wiki/Hubei', 'https://de.wikipedia.org/wiki/Hartmut_Hengel', 'https://de.wikipedia.org/wiki/Gesellschaft_für_Virologie', '/wiki/Infectivity', 'https://de.wikipedia.org/wiki/Tröpfcheninfektion', '/wiki/Aerosol', '/wiki/Correctiv', 'https://de.wikipedia.org/wiki/Tagesschau.de']"
Hohe Infektiosität,Hohe Infektiosität,Falschinformationen zu Eigenschaften des Virus,"['/wiki/Whistleblower', '/wiki/Quarantäne', '/wiki/Mutation', '/wiki/Basisreproduktionszahl', '/wiki/Informationspolitik', '/wiki/Staatsrat_der_Volksrepublik_China']","['https://de.wikipedia.org/wiki/Whistleblower', 'https://de.wikipedia.org/wiki/Quarantäne', 'https://de.wikipedia.org/wiki/Mutation', 'https://de.wikipedia.org/wiki/Basisreproduktionszahl', 'https://de.wikipedia.org/wiki/Informationspolitik', 'https://de.wikipedia.org/wiki/Staatsrat_der_Volksrepublik_China']",False information on the properties of the virus,High infectiousity,High infectiousity,"['https://en.wikipedia.org/wiki/Whistleblower', 'https://en.wikipedia.org/wiki/Quarantine', 'https://en.wikipedia.org/wiki/Mutation', 'https://en.wikipedia.org/wiki/Basic_reproduction_number', 'https://de.wikipedia.org/wiki/Informationspolitik', 'https://en.wikipedia.org/wiki/State_Council_of_the_People%27s_Republic_of_China']","['/wiki/Whistleblower', '/wiki/Quarantine', '/wiki/Mutation', '/wiki/Basic_reproduction_number', 'https://de.wikipedia.org/wiki/Informationspolitik', '/wiki/State_Council_of_the_People%27s_Republic_of_China']"
Grippevergleiche,Grippevergleiche,Falschinformationen zu Eigenschaften des Virus,"['/wiki/COVID-19-Pandemie#Vergleich_mit_Influenza_(Grippe)', '/wiki/COVID-19#Abschätzung_des_Sterberisikos', '/wiki/Grippe', '/wiki/Erkältung', '/wiki/Bakterien', '/wiki/Viren', '/wiki/Familie_(Biologie)', '/wiki/Coronaviridae', '/wiki/Evolutionäre_Anpassung', '/wiki/Influenza', '/wiki/Gattung_(Biologie)', '/wiki/Influenzavirus', '/wiki/Grippewelle', '/wiki/Spanische_Grippe', '/wiki/Michael_Spitzbart', '/wiki/Wolfgang_Wodarg', '/wiki/Sucharit_Bhakdi', '/wiki/Europäisches_Zentrum_für_die_Prävention_und_die_Kontrolle_von_Krankheiten', '/wiki/Infektionssterblichkeit', '/wiki/Robert_Koch-Institut', '/wiki/Deutsche_Presse-Agentur', '/wiki/Süddeutsche_Zeitung', '/wiki/Wissenschaft', '/wiki/Clickbaiting', '/wiki/COVID-19-Pandemie', '/wiki/Donald_Trump#Gesundheit', '/wiki/Donald_Trumps_Präsidentschaft#COVID-19-Pandemie', '/wiki/Letalität']","['https://de.wikipedia.org/wiki/COVID-19-Pandemie#Vergleich_mit_Influenza_(Grippe)', 'https://de.wikipedia.org/wiki/COVID-19#Abschätzung_des_Sterberisikos', 'https://de.wikipedia.org/wiki/Grippe', 'https://de.wikipedia.org/wiki/Erkältung', 'https://de.wikipedia.org/wiki/Bakterien', 'https://de.wikipedia.org/wiki/Viren', 'https://de.wikipedia.org/wiki/Familie_(Biologie)', 'https://de.wikipedia.org/wiki/Coronaviridae', 'https://de.wikipedia.org/wiki/Evolutionäre_Anpassung', 'https://de.wikipedia.org/wiki/Influenza', 'https://de.wikipedia.org/wiki/Gattung_(Biologie)', 'https://de.wikipedia.org/wiki/Influenzavirus', 'https://de.wikipedia.org/wiki/Grippewelle', 'https://de.wikipedia.org/wiki/Spanische_Grippe', 'https://de.wikipedia.org/wiki/Michael_Spitzbart', 'https://de.wikipedia.org/wiki/Wolfgang_Wodarg', 'https://de.wikipedia.org/wiki/Sucharit_Bhakdi', 'https://de.wikipedia.org/wiki/Europäisches_Zentrum_für_die_Prävention_und_die_Kontrolle_von_Krankheiten', 'https://de.wikipedia.org/wiki/Infektionssterblichkeit', 'https://de.wikipedia.org/wiki/Robert_Koch-Institut', 'https://de.wikipedia.org/wiki/Deutsche_Presse-Agentur', 'https://de.wikipedia.org/wiki/Süddeutsche_Zeitung', 'https://de.wikipedia.org/wiki/Wissenschaft', 'https://de.wikipedia.org/wiki/Clickbaiting', 'https://de.wikipedia.org/wiki/COVID-19-Pandemie', 'https://de.wikipedia.org/wiki/Donald_Trump#Gesundheit', 'https://de.wikipedia.org/wiki/Donald_Trumps_Präsidentschaft#COVID-19-Pandemie', 'https://de.wikipedia.org/wiki/Letalität']",False information on the properties of the virus,Flu comparisons,Flu comparisons,"['https://en.wikipedia.org/wiki/COVID-19_pandemic', 'https://en.wikipedia.org/wiki/COVID-19', 'https://en.wikipedia.org/wiki/Grippe_%28disambiguation%29', 'https://en.wikipedia.org/wiki/Common_cold', 'https://en.wikipedia.org/wiki/Bacteria', 'https://en.wikipedia.org/wiki/Virus', 'https://en.wikipedia.org/wiki/Family_%28biology%29', 'https://en.wikipedia.org/wiki/Coronaviridae', 'https://en.wikipedia.org/wiki/Adaptation', 'https://en.wikipedia.org/wiki/Influenza', 'https://en.wikipedia.org/wiki/Genus', 'https://de.wikipedia.org/wiki/Influenzavirus', 'https://de.wikipedia.org/wiki/Grippewelle', 'https://en.wikipedia.org/wiki/Spanish_flu', 'https://de.wikipedia.org/wiki/Michael_Spitzbart', 'https://en.wikipedia.org/wiki/Wolfgang_Wodarg', 'https://en.wikipedia.org/wiki/Sucharit_Bhakdi', 'https://en.wikipedia.org/wiki/European_Centre_for_Disease_Prevention_and_Control', 'https://de.wikipedia.org/wiki/Infektionssterblichkeit', 'https://en.wikipedia.org/wiki/Robert_Koch_Institute', 'https://en.wikipedia.org/wiki/Deutsche_Presse-Agentur', 'https://en.wikipedia.org/wiki/S%C3%BCddeutsche_Zeitung', 'https://en.wikipedia.org/wiki/Science', 'https://en.wikipedia.org/wiki/Clickbait', 'https://en.wikipedia.org/wiki/COVID-19_pandemic', 'https://en.wikipedia.org/wiki/Donald_Trump', 'https://en.wikipedia.org/wiki/Presidency_of_Donald_Trump', 'https://en.wikipedia.org/wiki/Lethality']","['/wiki/COVID-19_pandemic', '/wiki/COVID-19', '/wiki/Grippe_%28disambiguation%29', '/wiki/Common_cold', '/wiki/Bacteria', '/wiki/Virus', '/wiki/Family_%28biology%29', '/wiki/Coronaviridae', '/wiki/Adaptation', '/wiki/Influenza', '/wiki/Genus', 'https://de.wikipedia.org/wiki/Influenzavirus', 'https://de.wikipedia.org/wiki/Grippewelle', '/wiki/Spanish_flu', 'https://de.wikipedia.org/wiki/Michael_Spitzbart', '/wiki/Wolfgang_Wodarg', '/wiki/Sucharit_Bhakdi', '/wiki/European_Centre_for_Disease_Prevention_and_Control', 'https://de.wikipedia.org/wiki/Infektionssterblichkeit', '/wiki/Robert_Koch_Institute', '/wiki/Deutsche_Presse-Agentur', '/wiki/S%C3%BCddeutsche_Zeitung', '/wiki/Science', '/wiki/Clickbait', '/wiki/COVID-19_pandemic', '/wiki/Donald_Trump', '/wiki/Presidency_of_Donald_Trump', '/wiki/Lethality']"
Eingrenzung auf bestimmte Bevölkerungsgruppen,Eingrenzung auf bestimmte Bevölkerungsgruppen,Falschinformationen zu Eigenschaften des Virus,"['/wiki/NDR', '/wiki/Universität_Glasgow', '/wiki/Bundesamt_für_Statistik', '/wiki/Tages-Anzeiger']","['https://de.wikipedia.org/wiki/NDR', 'https://de.wikipedia.org/wiki/Universität_Glasgow', 'https://de.wikipedia.org/wiki/Bundesamt_für_Statistik', 'https://de.wikipedia.org/wiki/Tages-Anzeiger']",False information on the properties of the virus,Limited to certain population groups,Limited to certain population groups,"['https://de.wikipedia.org/wiki/NDR', 'https://de.wikipedia.org/wiki/Universität_Glasgow', 'https://en.wikipedia.org/wiki/Federal_Statistical_Office_%28Switzerland%29', 'https://en.wikipedia.org/wiki/Tages-Anzeiger']","['https://de.wikipedia.org/wiki/NDR', 'https://de.wikipedia.org/wiki/Universität_Glasgow', '/wiki/Federal_Statistical_Office_%28Switzerland%29', '/wiki/Tages-Anzeiger']"
Warnungen vor NSAR,Warnungen vor NSAR,Falschinformationen zu Eigenschaften des Virus,"['/wiki/Ibuprofen', '/wiki/Acetylsalicylsäure', '/wiki/Medizinische_Universität_Wien', '/wiki/Nichtsteroidales_Antirheumatikum', '/wiki/Olivier_Véran', '/wiki/Paracetamol', '/wiki/Bundesamt_für_Gesundheit', '/wiki/Jonas_Schmidt-Chanasit', '/wiki/Korrelation', '/wiki/Christian_Drosten']","['https://de.wikipedia.org/wiki/Ibuprofen', 'https://de.wikipedia.org/wiki/Acetylsalicylsäure', 'https://de.wikipedia.org/wiki/Medizinische_Universität_Wien', 'https://de.wikipedia.org/wiki/Nichtsteroidales_Antirheumatikum', 'https://de.wikipedia.org/wiki/Olivier_Véran', 'https://de.wikipedia.org/wiki/Paracetamol', 'https://de.wikipedia.org/wiki/Bundesamt_für_Gesundheit', 'https://de.wikipedia.org/wiki/Jonas_Schmidt-Chanasit', 'https://de.wikipedia.org/wiki/Korrelation', 'https://de.wikipedia.org/wiki/Christian_Drosten']",False information on the properties of the virus,Warnings of Nsar,Warnings of Nsar,"['https://en.wikipedia.org/wiki/Ibuprofen', 'https://en.wikipedia.org/wiki/Aspirin', 'https://en.wikipedia.org/wiki/Medical_University_of_Vienna', 'https://en.wikipedia.org/wiki/Nonsteroidal_anti-inflammatory_drug', 'https://en.wikipedia.org/wiki/Olivier_V%C3%A9ran', 'https://en.wikipedia.org/wiki/Paracetamol', 'https://en.wikipedia.org/wiki/Federal_Office_of_Public_Health', 'https://en.wikipedia.org/wiki/Jonas_Schmidt-Chanasit', 'https://en.wikipedia.org/wiki/Correlation', 'https://en.wikipedia.org/wiki/Christian_Drosten']","['/wiki/Ibuprofen', '/wiki/Aspirin', '/wiki/Medical_University_of_Vienna', '/wiki/Nonsteroidal_anti-inflammatory_drug', '/wiki/Olivier_V%C3%A9ran', '/wiki/Paracetamol', '/wiki/Federal_Office_of_Public_Health', '/wiki/Jonas_Schmidt-Chanasit', '/wiki/Correlation', '/wiki/Christian_Drosten']"
Luftanhalten als Schnelltest,Luftanhalten als Schnelltest,Falschinformationen zu Eigenschaften des Virus,"['/wiki/Kettenbrief', '/wiki/Republik_China_(Taiwan)', '/wiki/Fibrose', '/wiki/Asthma', '/wiki/Schnelltest', '/wiki/Epidemie#Arten_von_Epidemien', '/wiki/COVID-19-Pandemie_in_Deutschland/Testung#Testkapazitäten,_durchgeführte_Tests_und_Anteil_positiver_Ergebnisse', '/wiki/COVID-19-Pandemie_in_Deutschland#Zahl_der_neu_bekannten_Infektionsfälle', '/wiki/Weltgesundheitsorganisation']","['https://de.wikipedia.org/wiki/Kettenbrief', 'https://de.wikipedia.org/wiki/Republik_China_(Taiwan)', 'https://de.wikipedia.org/wiki/Fibrose', 'https://de.wikipedia.org/wiki/Asthma', 'https://de.wikipedia.org/wiki/Schnelltest', 'https://de.wikipedia.org/wiki/Epidemie#Arten_von_Epidemien', 'https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Deutschland/Testung#Testkapazitäten,_durchgeführte_Tests_und_Anteil_positiver_Ergebnisse', 'https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Deutschland#Zahl_der_neu_bekannten_Infektionsfälle', 'https://de.wikipedia.org/wiki/Weltgesundheitsorganisation']",False information on the properties of the virus,Keep air as a quick test,Keep air as a quick test,"['https://en.wikipedia.org/wiki/Chain_letter', 'https://en.wikipedia.org/wiki/Taiwan', 'https://en.wikipedia.org/wiki/Fibrosis', 'https://de.wikipedia.org/wiki/Asthma', 'https://de.wikipedia.org/wiki/Schnelltest', 'https://en.wikipedia.org/wiki/Epidemic', 'https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Deutschland/Testung#Testkapazitäten,_durchgeführte_Tests_und_Anteil_positiver_Ergebnisse', 'https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Germany', 'https://en.wikipedia.org/wiki/World_Health_Organization']","['/wiki/Chain_letter', '/wiki/Taiwan', '/wiki/Fibrosis', 'https://de.wikipedia.org/wiki/Asthma', 'https://de.wikipedia.org/wiki/Schnelltest', '/wiki/Epidemic', 'https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Deutschland/Testung#Testkapazitäten,_durchgeführte_Tests_und_Anteil_positiver_Ergebnisse', '/wiki/COVID-19_pandemic_in_Germany', '/wiki/World_Health_Organization']"
PCR-Tests,PCR-Tests,Pandemie-Leugnung,"['/wiki/Polymerase-Kettenreaktion', '/wiki/Hr-info', '/wiki/Nachweisgrenze', '/wiki/Photometrie', '/wiki/Wolfgang_Wodarg', '/wiki/Charité', '/wiki/Schweinegrippe-Impfung', '/wiki/Pandemie_H1N1_2009/10', '/wiki/Christian_Drosten', '/wiki/KenFM', '/wiki/Eva_Herman']","['https://de.wikipedia.org/wiki/Polymerase-Kettenreaktion', 'https://de.wikipedia.org/wiki/Hr-info', 'https://de.wikipedia.org/wiki/Nachweisgrenze', 'https://de.wikipedia.org/wiki/Photometrie', 'https://de.wikipedia.org/wiki/Wolfgang_Wodarg', 'https://de.wikipedia.org/wiki/Charité', 'https://de.wikipedia.org/wiki/Schweinegrippe-Impfung', 'https://de.wikipedia.org/wiki/Pandemie_H1N1_2009/10', 'https://de.wikipedia.org/wiki/Christian_Drosten', 'https://de.wikipedia.org/wiki/KenFM', 'https://de.wikipedia.org/wiki/Eva_Herman']",Pandemic denial,PCR-Tests,PCR-Tests,"['https://en.wikipedia.org/wiki/Polymerase_chain_reaction', 'https://en.wikipedia.org/wiki/Hr-info', 'https://en.wikipedia.org/wiki/Detection_limit', 'https://en.wikipedia.org/wiki/Photometry_%28optics%29', 'https://en.wikipedia.org/wiki/Wolfgang_Wodarg', 'https://en.wikipedia.org/wiki/Charit%C3%A9', 'https://en.wikipedia.org/wiki/2009_swine_flu_pandemic_vaccine', 'https://en.wikipedia.org/wiki/AD_10', 'https://en.wikipedia.org/wiki/Christian_Drosten', 'https://en.wikipedia.org/wiki/KenFM', 'https://en.wikipedia.org/wiki/Eva_Herman']","['/wiki/Polymerase_chain_reaction', '/wiki/Hr-info', '/wiki/Detection_limit', '/wiki/Photometry_%28optics%29', '/wiki/Wolfgang_Wodarg', '/wiki/Charit%C3%A9', '/wiki/2009_swine_flu_pandemic_vaccine', '/wiki/AD_10', '/wiki/Christian_Drosten', '/wiki/KenFM', '/wiki/Eva_Herman']"
Falschnachricht: Todesursache Corona gegen Angehörigenprämie,Falschnachricht: Todesursache Corona gegen Angehörigenprämie,Pandemie-Leugnung,['/wiki/Kurzarbeit'],['https://de.wikipedia.org/wiki/Kurzarbeit'],Pandemic denial,Falschnachricht: the cause of death Corona against relatives bonus,Falschnachricht: the cause of death Corona against relatives bonus,['https://en.wikipedia.org/wiki/Kurzarbeit'],['/wiki/Kurzarbeit']
Angeblich gleich gebliebene Belegung der Intensivstationen,Angeblich gleich gebliebene Belegung der Intensivstationen,Pandemie-Leugnung,"['/wiki/DIVI-Intensivregister', '/wiki/Beatmung', '/wiki/Deutsches_Ärzteblatt']","['https://de.wikipedia.org/wiki/DIVI-Intensivregister', 'https://de.wikipedia.org/wiki/Beatmung', 'https://de.wikipedia.org/wiki/Deutsches_Ärzteblatt']",Pandemic denial,Supposedly remained the same occupancy of the intensive care units,Supposedly remained the same occupancy of the intensive care units,"['https://de.wikipedia.org/wiki/DIVI-Intensivregister', 'https://en.wikipedia.org/wiki/Mechanical_ventilation', 'https://en.wikipedia.org/wiki/Deutsches_%C3%84rzteblatt']","['https://de.wikipedia.org/wiki/DIVI-Intensivregister', '/wiki/Mechanical_ventilation', '/wiki/Deutsches_%C3%84rzteblatt']"
Behauptung: Mehrfachtestungen als neue Fälle gezählt,Behauptung: Mehrfachtestungen als neue Fälle gezählt,Pandemie-Leugnung,"['/wiki/Journalistenwatch', '/wiki/Correctiv']","['https://de.wikipedia.org/wiki/Journalistenwatch', 'https://de.wikipedia.org/wiki/Correctiv']",Pandemic denial,Assertion: multi -folding than new cases counted,Assertion: multi -folding than new cases counted,"['https://de.wikipedia.org/wiki/Journalistenwatch', 'https://en.wikipedia.org/wiki/Correctiv']","['https://de.wikipedia.org/wiki/Journalistenwatch', '/wiki/Correctiv']"
