Sub-subheading,Subheading,Main Heading,Links,clean_articles
Wuhan lab origin,Wuhan lab origin,Virus origin,"['/wiki/COVID-19_lab_leak_theory', '/wiki/Severe_acute_respiratory_syndrome_coronavirus_2', '/wiki/COVID-19']",['/wiki/COVID-19']
Bio-weapon,Wuhan lab origin,Virus origin,"['/wiki/Israeli_secret_service', '/wiki/The_Washington_Times', '/wiki/Biosafety_level_4', '/wiki/Wuhan_Institute_of_Virology', '/wiki/Li-Meng_Yan', '/wiki/Preprint', '/wiki/Steve_Bannon', '/wiki/Guo_Wengui', '/wiki/Expatriate', '/wiki/Anti-Chinese_sentiment', '/wiki/Echo_chamber_(media)', '/wiki/Plandemic', '/wiki/The_Epoch_Times', '/wiki/Chinese_Communist_Party', '/wiki/Falun_Gong', '/wiki/Misinformation_related_to_the_COVID-19_pandemic#Misinformation_regarding_virus_origin', '/wiki/Severe_acute_respiratory_syndrome_coronavirus_2', '/wiki/Chinese_Communist_Party', '/wiki/Fort_Detrick', '/wiki/Andrew_Bridgen']","['/wiki/Biosafety_level_4', '/wiki/Wuhan_Institute_of_Virology', '/wiki/Preprint', '/wiki/Anti-Chinese_sentiment', '/wiki/Echo_chamber_(media)', '/wiki/Plandemic', '/wiki/Falun_Gong']"
Gain-of-function research,Wuhan lab origin,Virus origin,"['/wiki/Gain-of-function_research', '/wiki/Angela_Rasmussen', '/wiki/Tucker_Carlson', '/wiki/Nicholas_Wade', '/wiki/Rand_Paul', '/wiki/Ralph_Baric', '/wiki/Francis_Collins', '/wiki/Chimeric_virus']","['/wiki/Nicholas_Wade', '/wiki/Chimeric_virus']"
Accidental release of collected sample,Wuhan lab origin,Virus origin,"['/wiki/Tedros_Adhanom_Ghebreyesus', '/wiki/Science_(journal)']","['/wiki/Tedros_Adhanom_Ghebreyesus', '/wiki/Science_(journal)']"
Stolen from Canadian lab,Stolen from Canadian lab,Virus origin,"['/wiki/Health_Canada', '/wiki/Public_Health_Agency_of_Canada', '/wiki/Canadian_Broadcasting_Corporation', '/wiki/National_Microbiology_Laboratory', '/wiki/Biosafety_level#Biosafety_level_4', '/wiki/Royal_Canadian_Mounted_Police', '/wiki/NATO', '/wiki/Jens_Stoltenberg']","['/wiki/Health_Canada', '/wiki/Public_Health_Agency_of_Canada', '/wiki/Canadian_Broadcasting_Corporation', '/wiki/National_Microbiology_Laboratory']"
Accusations by China,Accusations by China,Virus origin,"['/wiki/COVID-19_misinformation_by_China', '/wiki/Cyberwarfare_by_China', '/wiki/Propaganda_in_China', '/wiki/Chinese_information_operations_and_information_warfare', '/wiki/The_Economist', '/wiki/ProPublica', '/wiki/China_News_Service', '/wiki/United_Front_Work_Department', '/wiki/Global_Times', '/wiki/Xinhua_News_Agency', '/wiki/NBC_News', '/wiki/Zhao_Lijian', '/wiki/Geng_Shuang', '/wiki/2019_Military_World_Games', '/wiki/Influenza-like_illness', '/wiki/Road_bicycle_racing', '/wiki/Hua_Chunying', '/wiki/United_States_biological_weapons_program', '/wiki/Fort_Detrick', '/wiki/Foreign_Policy', '/wiki/Zhao_Lijian']","['/wiki/Propaganda_in_China', '/wiki/Chinese_information_operations_and_information_warfare', '/wiki/China_News_Service', '/wiki/Xinhua_News_Agency', '/wiki/NBC_News', '/wiki/2019_Military_World_Games', '/wiki/Influenza-like_illness', '/wiki/Hua_Chunying', '/wiki/United_States_biological_weapons_program']"
Accusations by Russia,Accusations by Russia,Virus origin,"['/wiki/Cyberwarfare_by_Russia', '/wiki/Propaganda_in_the_Russian_Federation', '/wiki/Instagram', '/wiki/CIA', '/wiki/2022_Russian_invasion_of_Ukraine', '/wiki/Joe_Biden', '/wiki/Hunter_Biden', '/wiki/George_Soros', '/wiki/Tucker_Carlson']","['/wiki/Cyberwarfare_by_Russia', '/wiki/Propaganda_in_the_Russian_Federation', '/wiki/Instagram', '/wiki/CIA']"
Accusations by other countries,Accusations by other countries,Virus origin,"['/wiki/Middle_East_Media_Research_Institute', '/wiki/YouGov', '/wiki/Reza_Malekzadeh', '/wiki/Qom', '/wiki/Donald_Trump', '/wiki/Reza_Malekzadeh', '/wiki/USCENTCOM', '/wiki/Globsec', '/wiki/Eastern_Europe']","['/wiki/Middle_East_Media_Research_Institute', '/wiki/YouGov', '/wiki/Qom', '/wiki/USCENTCOM', '/wiki/Eastern_Europe']"
Jewish origin,Jewish origin,Virus origin,['/wiki/Antisemitic_canard'],['/wiki/Antisemitic_canard']
In the Muslim world,Jewish origin,Virus origin,"['/wiki/Press_TV', '/wiki/Zionist', '/wiki/Avian_flu', '/wiki/SARS', '/wiki/Insider_trading', '/wiki/Crimean%E2%80%93Congo_hemorrhagic_fever', '/wiki/Fatih_Erbakan', '/wiki/COVID-19_vaccine', '/wiki/Naser_Makarem_Shirazi', '/wiki/Halal', '/wiki/Press_TV', '/wiki/Yeni_Akit', '/wiki/Compulsory_sterilization']","['/wiki/Zionist', '/wiki/Avian_flu', '/wiki/SARS', '/wiki/COVID-19_vaccine', '/wiki/Naser_Makarem_Shirazi', '/wiki/Halal', '/wiki/Compulsory_sterilization']"
