news_id,label,lang,ref_source_url,statement
twitter-1303341816637521922,real,en,https://twitter.com/i/web/status/1303341816637521922,"No #COVID19 vaccine is going to be mass-deployed before regulators, governments &amp; WHO are confident that it has met the minimum standards of efficacy &amp; safety.
WHO has a very elaborate &amp; thorough vaccine safety process before making any kind of recommendation
-@doctorsoumya https://t.co/46R6Zsf28L"
twitter-1302981620241178625,real,en,https://twitter.com/i/web/status/1302981620241178625,"""We have had a glimpse of our 🌍 as it could be.

And that is the world we must strive for. 

Ultimately, we are not just fighting a virus. We’re fighting for a healthier, safer, cleaner and more sustainable future""-@DrTedros #WorldCleanAirDay #COVID19 

https://t.co/T46VsNtO1J"
twitter-1302981271757492227,real,en,https://twitter.com/i/web/status/1302981271757492227,"""In many places, we have seen a significant drop in #airpollution. We have been reminded of how starved our lungs have been of clean, unpolluted air""-@DrTedros #COVID19 #WorldCleanAirDay 

https://t.co/htde3CZv4C"
twitter-1302981096808869889,real,en,https://twitter.com/i/web/status/1302981096808869889,"""Finally, today is the first International #CleanAirDay for Blue Skies.

The #COVID19 pandemic – and the measures taken in many countries to contain it – have taken a heavy toll on lives, livelihoods and economies. 

But there have also been some unexpected benefits""-@DrTedros"
twitter-1302980137147920385,real,en,https://twitter.com/i/web/status/1302980137147920385,"""As a reminder, the review committee will evaluate the functioning of the International Health Regulations during the #COVID19 pandemic so far, and recommend any changes it believes are necessary""-@DrTedros 

https://t.co/OtfZDtKSEQ"
twitter-1302979681373827074,real,en,https://twitter.com/i/web/status/1302979681373827074,"""Tomorrow, the Review Committee of the International Health Regulations will begin its work.

The International Health Regulations is the most important legal instrument in global health security""-@DrTedros #COVID19 

https://t.co/1zoGHShNb0"
twitter-1302979359574233090,real,en,https://twitter.com/i/web/status/1302979359574233090,"""I call on all countries to invest in public health &amp; especially in #PrimaryHealthCare""-@DrTedros #HealthForAll #COVID19

https://t.co/l4qt49jxHm"
twitter-1302979167164788738,real,en,https://twitter.com/i/web/status/1302979167164788738,"""Although 🇩🇪’s #COVID19 response was strong, it is also learning lessons.
I welcome the announcement by Chancellor Angela Merkel over the weekend that her government will invest €4 billion by 2026 to strengthen 🇩🇪’s public health system""-@DrTedros #HealthForAll"
twitter-1302978760870952960,real,en,https://twitter.com/i/web/status/1302978760870952960,"""Many of these countries have done well because they learned lessons from previous outbreaks of SARS, MERS, measles, polio, Ebola, flu and other diseases. 

That’s why it’s vital that we all learn the lessons this pandemic is teaching us""-@DrTedros #COVID19"
twitter-1302978656084647936,real,en,https://twitter.com/i/web/status/1302978656084647936,"""There are many other examples we could give, including Cambodia 🇰🇭, Japan 🇯🇵, New Zealand 🇳🇿, the Republic of Korea 🇰🇷, Rwanda 🇷🇼, Senegal 🇸🇳, Spain 🇪🇸, Viet Nam 🇻🇳 and more""-@DrTedros #COVID19"
twitter-1302978340157095937,real,en,https://twitter.com/i/web/status/1302978340157095937,"""#Pakistan deployed the infrastructure built up over many years for #polio to combat #COVID19. Community #healthworkers who have been trained to go door-to-door vaccinating children have been utilized for surveillance, contact tracing and care""-@DrTedros"
twitter-1302978191666143233,real,en,https://twitter.com/i/web/status/1302978191666143233,"""This is not an accident. 
#Uruguay has one of the most robust and resilient health systems in Latin America, with sustainable investment based on political consensus on the importance of investing in health""-@DrTedros #COVID19 

https://t.co/Z9dRRquo1X"
twitter-1302978058559905792,real,en,https://twitter.com/i/web/status/1302978058559905792,"""Although the Americas has been the most-affected region, #Uruguay has reported the lowest number of #COVID19 cases and deaths in Latin America, both in total and on a per capita basis""-@DrTedros"
